Latitude,27.92205556,29.65825694,29.55743694,29.61881,29.45697889,28.95029444,29.13611389,28.26363611,28.397338,27.282872,27.16416667,27.184582,27.07894,27.0354,27.35279,28.43402778,28.21278611,28.11368333,28.2287043,28.01836389,28.42588611,28.05199444,27.66993611,28.02986111,28.64721944,29.301352,27.654025,27.5909,27.69334722,27.67668056,27.71605833,27.01295556,26.93175,26.709665,27.046316,27.15338889,27.0500025,26.98321944,26.91424278,26.93805556,27.69233306,28.201323,28.83811111,28.7844,27.722878,28.6989756,26.90963889,28.16998056,28.0636,27.93856667,29.268036,29,29.12015194,29.26209694,28.95065,28.961315,27.513304,27.6901515,27.63044722,28.36666667,28.650092,27.97138889,26.662324,26.684103,26.638026,28.536556,28.66417611,28.81272889,28.554055,28.87623,29.30322222,29.27466111,29.23088056,29.12995833,29.20060556,28.698575,27.63882194,27.6451338,27.57225278,27.571075,27.75649167,27.7413055,27.72863611,28.188621,28.21849444,28.29653889,28.261298,28.355852,27.703825,27.593056,26.88333333,27.359795,27.13631583,27.029247,27.21252194,27.55973278,27.420213,27.619,27.651677,27.60325833,28.28220833,28.12677778,28.66627083,28.14750556,27.4162,28.784025,26.483967,26.61000889,27.51925,27.914975,27.8112882,28.740909,28.63273333,27.680534,27.59102222,28.47749278,28.02851111,27.01584722,27.0232,27.30812083,27.14367389,27.21472694,27.185503,28.10354722,28.30619722,28.61280306,27.50681944,27.86541111,28.618975,28.65399306,28.18352222,27.09985278,26.92800556,27.69653056,26.730538,26.732702,26.65612083,26.540705,27.55534778,27.29209694,27.75331194,26.621054,27.30127778,27.5310288,27.47027778,28.38210306,27.75378333,27.8653534,27.8127,27.7922,27.78868083,27.999318,27.6838541,27.901559,27.419825,27.294469,28.098775,27.50511778,26.792175,26.820435,26.698692,28.875515,28.78096944,28.58786944,28.02695833,27.973675,29.97153333,
Longitude,83.12980556,80.53816111,80.41317389,80.84791,81.48038389,81.44431944,81.25009167,83.60032222,83.084485,84.991582,84.98,85.18584,84.9327,85.0012,87.14629,81.09758333,81.34521111,81.59030556,81.6528283,81.89851944,81.33803611,81.62283889,82.79119167,81.97491667,81.28542778,80.58775194,84.35079444,84.5223,85.52085833,85.42396944,85.42675556,85.92089722,87.31969,85.917228,87.292473,87.28919444,87.24444444,87.34595556,87.15986,87.15472222,82.52512694,82.13939389,81.70848333,81.58434444,85.164311,82.2001231,87.92308333,83.26802778,83.243525,83.44315278,80.983602,81.13333333,80.70944778,80.93690083,82.89604722,82.268888,86.058485,85.9802263,86.23211389,84.9,84.633574,84.58944444,87.698824,87.986409,87.999321,81.115034,80.97850889,80.55995111,80.831765,80.57918889,81.75186111,82.17957778,82.33041944,81.58836111,81.91056944,80.37540389,85.70498083,85.620881,85.52855278,83.06716944,83.04845833,85.4741733,85.32415,84.0169252,83.9742,83.81791111,83.968287,84.102068,85.35624722,85.378889,85.78333333,86.74866194,86.42952694,86.843298,86.79188583,85.1386,85.025209,85.1496,85.325693,85.32656389,84.35640278,84.34494167,84.02257194,84.58002778,85.1562,83.729894,87.267006,87.37074778,83.66218333,85.16463889,85.2674061,83.681614,83.60922222,84.22817,83.86770278,83.64041583,85.10623056,85.38070833,84.8782,86.504225,87.765595,86.44435778,87.92978694,82.85201667,82.63231389,82.62066389,83.42044722,83.95603056,82.462491,82.21030694,85.30183889,85.65964167,85.44511389,86.7167,86.934812,86.477648,86.21165778,86.742525,87.285198,87.31696583,87.41234,86.902994,87.20433333,83.4583003,83.27611111,82.14225111,85.73207778,85.8601477,85.6242,85.5715,85.89998583,85.554444,85.7065205,85.632553,85.84864444,85.456563,83.872177,86.586215,87.29777778,87.159165,87.278648,81.23272611,81.33074444,81.63516111,84.08660278,84.26509167,81.81611111,1
Time,Khanchikot,Kakerpakha,Baitadi (Gothalapani),Pipalkot,Bajura (Martadi),Asara Ghat,Mangalsen,Baglung,Bobang,Amlekhganj,Simara Airport,Nijgadh,Parwanipur,Kalaiya,Dingla,Rajapur,Gulariya,Khajura (Nepalganj),Naubasta,Baijapur,Bargadaha,Nepalgunj(Reg.Off.),Bhagwanpur,Sikta,Chisapani(Karnali),Dadeldhura,Rampur,Jhuwani,Nagarkot,Bhaktapur,Changu Narayan,Tulsi,MulGhat,Janakpur Airport,Pakhribas,Leguwa Ghat,Muga,Dhankuta,Tribeni (Dhankuta),Machhuwaghat,Koilabas,Nayabasti (Dang),Dailekh,Bale Budha (Tallo Dhungeshwor),Dhunibesi,Jajarkot_AWS,Ilam Tea Estate,Musikot,Tamghas,Ridi,Silgadhi Doti,Katai,Kola Gaun,Dipayal (Doti),Dunai,Maina Gaun (D.Bas),Melung,Charikot,Jiri,Jagat (Setibas),Larke Samdo,Gorkha (Birenchowk),Damak,Sanischare,Anarmani Birta,Tikapur,Sandhepani,Dhangadhi(Attariya),Sitapur,Godavari(West),Thirpu,Jumla,Guthi Chaur,Sheri Ghat,Nagma,Santipur Belauri,Dolal Ghat,Panchkhal,Khopasi(Panauti),Taulihawa,Pattharkot (West),Sankhu.1,Panipokhari,Pokhara Airport,Malepatan (Pokhara),Lumle,Lamachaur,Sikles,Kathmandu Airport,Godavari,Gausala,Aisealukhark,Kurle Ghat,Khotang Bazar,Diktel,Chisapani Gadhi,Hetauda N.F.I.,Markhu Gaun,Khumaltar,Chapa Gaun,Khudi Bazar,Kunchha,Manang Bhot,Gharedhunga,Makwanpur Gadhi,Jomsom,Biratnagar Airport,Haraincha,Parasi,Nuwakot,Kakani,Thakmarpha,Lete,Dumkauli,Dumkibas,Tatopani (Ratopani),Pansayakhola,Ramoli Bairiya,Birganj,Okhaldhunga,Phidim (Panchther),Mane Bhanjyang,Memeng Jagat,Bijuwar Tar,Libang Gaun,Rukumkot,Bhairahawa Airport,Gandakot,Musikot(Rukumkot),Chaurjhari Tar,Thamachit,Pattharkot (East),Manusmara,Chaurikhark,Phattepur,Lahan,Siraha,Rajbiraj,Num,Chainpur (East),Chepuwa,Barmajhiya,Tumlingtar,Bhairahawa (Agric),Lumbini,Salyan Bazar,Chautara,Gumthang,Nawalpur,Baunepati,Bahrabise,Tarke Ghyang,Sangachok.1,Dhap (Tarnamlang),Nepalthok,Hariharpur Gadhi Valley,Syangja,Salleri,Dharan Bazar,Chatara,Tarahara,Pusma Camp,Jamu (Tikuwa Kuna),Surkhet Airport (Birendranagar),Khairini Tar,Damauli,simikot,1
1/1/1980 3:00,0,0.8,7.5,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.103691586,0,0,0,0,0,0,0,0,0,14,0,0,3.5,0.420465809,0,0.432189268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,9.1,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0.6,0,0,0,0,0,0.6,1,0,0,0,1.955154828,0,10.6,0,0,0,0,3.5,0,0,0,0,0,7,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,1
1/2/1980 3:00,2.5,0,2.6,8.8,0,2.7,0,0,1.5,9,1.1,0,0,4.6,0,0.5,0,0,0,0,3.1,1.2,1,0,0.7,6.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,4.1,0,0,0,0,6.4,0,3.6,6.120311422,0,0,0,0,0,0,0,0,0,0,0,0,2,3.063808686,0,3.019524312,50,9.5,7,18,0,3.5,0,0,0,0.7,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,1.5,0.9,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,1.2,5.3,0,0,0.5,1,0,0,0,0,3.4,5,2.5,1.4,0.5,6.5,4,1,0,0,0,1.396539163,0,0,0,0,0,0,2.5,0,1.4,1.22183339,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0.3,0,0,10,1
1/3/1980 3:00,0,0,0,2.1,2,6.3,18,0,2.3,0,0,0,0,0,0,0,8,9,0,0,0,24,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,7.8,2.3,13.7,8.070169937,0,0,0,0,0,0,0,0,0,0,0,3.2,11,5.45275415,7.1,5.714900335,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0.3,0,0,0,0,12,13.4,0.3,0,0,15,1
1/4/1980 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,1.2,0,0,0,0,1
1/5/1980 3:00,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1/6/1980 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/7/1980 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,1
